boundary_after_previous_folio,boundary_before_folio,previous_section,current_section,adjacent_distance,conventional_section_boundary,window_3_distance,window_5_distance,window_7_distance,combined_change_point_score
f1r,f1v,unknown,herbal,2.4829156816630875,True,2.864543194870077,1.9731283343217823,2.1714018514708213,2.372997265581442
f1v,f2r,herbal,herbal,2.5167338819898157,False,1.5792925982098667,1.8975774820615503,1.8676774094140423,1.9653203429188189
f2r,f2v,herbal,herbal,3.0569192405109304,False,2.826019228551725,2.3127469163278382,2.0692523953266817,2.566234445179294
f2v,f3r,herbal,herbal,3.827727701394913,False,3.2550919930885476,1.8473603100562555,1.8671721346189085,2.699338034789656
f3r,f3v,herbal,herbal,1.6150411082201481,False,1.2835374554488885,1.4966613854592115,1.2205692063223894,1.4039522888626594
f3v,f4r,herbal,herbal,4.099910943904107,False,2.9916097431031425,1.4643825514535762,1.3555365885438384,2.4778599567511663
f4r,f4v,herbal,herbal,1.9307718436062902,False,3.206226630764306,1.1548233866968791,1.1629002513696738,1.8636805281092874
f4v,f5r,herbal,herbal,2.5998552051777284,False,1.7465332407150167,1.1017225389247223,0.6456543626407661,1.5234413368645583
f5r,f5v,herbal,herbal,2.9293185128963644,False,2.4019571078022923,0.6968267951560935,0.5648165167972383,1.6482297331629971
f5v,f6r,herbal,herbal,3.1230589451697535,False,2.4891666823359593,1.1747358002604058,0.8816164156933387,1.9171444608648642
f6r,f6v,herbal,herbal,1.6732552682371364,False,1.4076082601418718,1.4294078541391253,1.0404145513998047,1.3876714834794845
f6v,f7r,herbal,herbal,2.793340856396465,False,1.7767419226063537,0.9471159390812974,1.0761348696303916,1.648333396928627
f7r,f7v,herbal,herbal,2.3298168047266485,False,1.768860000121737,1.402640810042807,1.2562562241422204,1.689393459758353
f7v,f8r,herbal,herbal,2.420856987636933,False,1.641113536523736,1.7340797206045635,1.2261717234820635,1.7555554920618242
f8r,f8v,herbal,herbal,1.525221182719958,False,1.528530478205492,1.475916632844289,1.318366066047382,1.4620085899542803
f8v,f9r,herbal,herbal,2.993516935506016,False,2.06208417175165,1.8885685902049756,1.883129120993059,2.206824704613925
f9r,f9v,herbal,herbal,1.8384906326887693,False,1.6886674778581243,1.7840035852739133,1.7550508688313142,1.7665531411630302
f9v,f10r,herbal,herbal,2.1879611993017667,False,2.015284417117978,1.7639505634991501,1.6548180933228,1.9055035683104236
f10r,f10v,herbal,herbal,3.425004387931817,False,2.2194395225981647,1.9191931898075878,1.6080295948067953,2.2929166737860913
f10v,f11r,herbal,herbal,0.7658626051419408,False,1.2825350132837408,1.1623310087181042,1.400575383649619,1.1528260026983514
f11r,f11v,herbal,herbal,2.8635283896579815,False,1.3586190602509276,1.027388499935661,1.175384464816512,1.6062301036652704
f11v,f13r,herbal,herbal,1.9456471753319688,False,1.3392509704056947,1.0671923705839268,0.8895365127849312,1.3104067572766305
f13r,f13v,herbal,herbal,2.085027938426422,False,0.8114345466989524,0.632360666941519,0.9164856678682026,1.1113272049837741
f13v,f14r,herbal,herbal,2.3249388809679563,False,1.0155615821746555,0.8223682795557227,0.5427377679529303,1.1764016276628162
f14r,f14v,herbal,herbal,3.483679154900282,False,1.6749229862551165,1.0321726821118191,0.7682775244601607,1.7397630869318446
f14v,f15r,herbal,herbal,3.0133953690633155,False,1.248538732262728,1.3469771382884335,1.3686369520062591,1.744387047905184
f15r,f15v,herbal,herbal,3.975139543631771,False,1.0683442914756631,1.5613303960278169,1.595036311396914,2.049962635633041
f15v,f16r,herbal,herbal,3.256229983641286,False,2.364441613903758,1.8186428218868465,1.3458429643421184,2.1962893459435024
f16r,f16v,herbal,herbal,2.061733771715428,False,2.865074423436006,2.327963362795984,1.634011714553805,2.222195818125306
f16v,f17r,herbal,herbal,2.8888963942455512,False,2.488366753440783,1.9815599474524745,1.6414213640041606,2.2500611147857423
f17r,f17v,herbal,herbal,2.0676856407441337,False,1.382592521972422,1.1315695334727551,1.1361424657098553,1.4294975404747914
f17v,f18r,herbal,herbal,2.243384226480235,False,2.3362901501255355,0.8385332091859006,0.9524528415097394,1.5926651068253526
f18r,f18v,herbal,herbal,2.2431896473628994,False,2.104886540572831,1.1566793726982867,0.9498017111191362,1.6136393179382882
f18v,f19r,herbal,herbal,3.782720794748981,False,1.7512297894786508,1.838426072790899,1.5715958117934168,2.235993117202987
f19r,f19v,herbal,herbal,4.511891247008344,False,1.4893332167839977,1.3130016620383647,1.3925152934243201,2.1766853548137566
f19v,f20r,herbal,herbal,3.557902537414511,False,1.9298101377293686,1.7565708319019204,1.595714906983471,2.2099996035073177
f20r,f20v,herbal,herbal,2.753009452498974,False,0.5359168680224735,1.1639711381564388,1.4163703886458985,1.4673169618309463
f20v,f21r,herbal,herbal,1.8535262168552211,False,1.8988556555864606,1.2495013623353335,0.8385349428269334,1.460104544400987
f21r,f21v,herbal,herbal,2.8697526558700015,False,2.1633941812339073,1.4546644386530394,1.0835675097863544,1.8928446963858256
f21v,f22r,herbal,herbal,3.470885358823275,False,0.9877582486466406,1.3667668925497778,1.4144050729299675,1.809953893237415
f22r,f22v,herbal,herbal,3.4899735316529323,False,2.2036552921855908,2.868981699085969,2.2039150514987043,2.691631393605799
f22v,f23r,herbal,herbal,3.360551227701819,False,3.7284761620636457,3.1186121979169235,1.792954748778648,3.0001485841152586
f23r,f23v,herbal,herbal,1.8360339735816174,False,3.907190934060417,2.274207339743711,1.6988970436661834,2.4290823227629823
f23v,f24r,herbal,herbal,4.5176721649883715,False,3.091097304852457,1.6435574002952382,1.5232238487898293,2.693887679731474
f24r,f24v,herbal,herbal,1.671513372982448,False,2.710947665296132,2.339039943656035,1.2810483161256108,2.0006373245150564
f24v,f25r,herbal,herbal,7.714812110928627,False,5.9099042684472956,3.2914179905714223,1.8646533810703054,4.695196937754412
f25r,f25v,herbal,herbal,3.0123573582891403,False,4.883288695301461,2.5082417111131865,1.305547162405972,2.92735873177744
f25v,f26r,herbal,herbal,3.3234102029695105,False,2.069446464011604,1.3648327919281975,0.8049274439213729,1.890654225707671
f26r,f26v,herbal,herbal,3.4320487679443974,False,3.3571961174868186,0.6360911221125398,0.38745337563767684,1.9531973457953584
f26v,f27r,herbal,herbal,6.263138229377511,False,4.015148735088871,2.4292629937187336,0.9319546424281767,3.4098761501533232
f27r,f27v,herbal,herbal,3.115866891051148,False,2.0047103639927437,2.392788001618304,1.1037091657516749,2.154268605603468
f27v,f28r,herbal,herbal,1.92545304826797,False,1.6311344853209422,1.7473453258903742,1.2884583556888423,1.6480978037920322
f28r,f28v,herbal,herbal,3.553067990905006,False,2.552478587201923,1.4018309080804006,1.6960157040224113,2.3008482975524354
f28v,f29r,herbal,herbal,4.185538223027839,False,1.1004141065870388,1.3861180744355697,1.5728550391141336,2.061231360791145
f29r,f29v,herbal,herbal,4.44213236154505,False,2.0567869567133044,2.0798687846763504,0.810825763688564,2.347403466655817
f29v,f30r,herbal,herbal,2.554079739323057,False,1.6663876858374798,0.8513332842743817,0.9547844741251965,1.5066462958900289
f30r,f30v,herbal,herbal,2.0479186077988105,False,1.1963636310780854,0.9899800974793592,0.4177653116306093,1.1630069119967161
f30v,f31r,herbal,herbal,2.7188301952300336,False,2.8210303471730063,1.5605005498692277,1.2021593021250072,2.075630098599319
f31r,f31v,herbal,herbal,2.948742580117636,False,2.7839310383262754,1.6608758333383038,1.4231990225621804,2.204187118586099
f31v,f32r,herbal,herbal,2.728944610875656,False,2.060063030999035,2.163471307627466,1.790509552653513,2.1857471255389176
f32r,f32v,herbal,herbal,4.336428002314394,False,3.067165579411713,2.2109175136159864,2.071132396226157,2.9214108728920625
f32v,f33r,herbal,herbal,4.218681820616026,False,2.5664849526334454,1.9096780958791182,1.5423755346894301,2.559305100954505
f33r,f33v,herbal,herbal,3.348329323558817,False,1.7931800302734127,2.106426377309045,1.4637221319655669,2.1779144657767104
f33v,f34r,herbal,herbal,2.874030571978158,False,1.7718890272279757,1.9930068311586382,1.6021740179853834,2.0602751120875387
f34r,f34v,herbal,herbal,1.6032753533303536,False,1.8689920415118746,1.6390136439804925,1.651312910704161,1.6906484873817205
f34v,f35r,herbal,herbal,1.1685074589014068,False,1.6641330646267487,1.2926297935737106,1.5792265937321321,1.4261242277084996
f35r,f35v,herbal,herbal,0.9227680760237779,False,1.3126355378436885,1.2451212631023687,1.1844839127581588,1.1662521974319986
f35v,f36r,herbal,herbal,2.7100004326359715,False,1.7917018246626593,1.213629005212872,0.9413744675358845,1.6641764325118467
f36r,f36v,herbal,herbal,2.9547672803894454,False,0.641648531840893,1.4651960502933998,0.9399454614711585,1.5003893309987244
f36v,f37r,herbal,herbal,3.140422256126522,False,1.336701598734041,1.3282452030547802,1.0137442172196647,1.7047783187837517
f37r,f37v,herbal,herbal,1.5176052859383615,False,3.0093258596604504,1.930138046951691,1.6738764161829807,2.032736402183371
f37v,f38r,herbal,herbal,5.88673544665667,False,3.077810974106287,2.3290006055948065,1.7535192057013957,3.26176655801479
f38r,f38v,herbal,herbal,4.133576567082816,False,2.006972631470514,1.6933823402684347,1.1512966725808673,2.246307052850658
f38v,f39r,herbal,herbal,2.9148427136479307,False,3.6465405543906666,2.0161691635202117,1.7852513746964782,2.590700951563822
f39r,f39v,herbal,herbal,3.8576092124593235,False,3.461213965996567,1.908404173164677,1.658377221362209,2.7214011432456937
f39v,f40r,herbal,herbal,2.729933124605398,False,1.2535790053537392,1.584371967933083,1.280637549537878,1.7121304118575245
f40r,f40v,herbal,herbal,3.1815582047870006,False,2.981849840511676,2.1175774461550474,1.4615893293141835,2.4356437051919766
f40v,f41r,herbal,herbal,1.9905768325589426,False,2.4697676309865995,1.7201894048569972,1.6070806259011585,1.9469036235759245
f41r,f41v,herbal,herbal,1.284182441769132,False,1.0047320731500995,1.3354191112339169,1.372920615236803,1.2493135603474879
f41v,f42r,herbal,herbal,3.500421252521106,False,2.052257261713299,1.220443831602925,0.913967069198415,1.9217723537589362
f42r,f42v,herbal,herbal,3.1192961213026873,False,1.8164921770309177,1.2512731157202412,1.652192445742117,1.9598134649489911
f42v,f43r,herbal,herbal,3.2825626141065896,False,1.676939912064554,1.3142254022588435,1.3914772099171007,1.916301284586772
f43r,f43v,herbal,herbal,2.0441729528876618,False,1.6912413830550628,1.3171539104706254,1.0647965263395975,1.529341193188237
f43v,f44r,herbal,herbal,3.2933107401587667,False,2.3754059436452315,1.1957214876698554,1.216459124227761,2.0202243239254036
f44r,f44v,herbal,herbal,2.366513614645136,False,2.0965110479295954,0.7610908596047946,1.16581297922932,1.5974821253522116
f44v,f45r,herbal,herbal,1.2620699120349503,False,1.6610520968444877,0.969344688604133,0.4946456519344281,1.0967780873544999
f45r,f45v,herbal,herbal,5.34101142245931,False,2.248642579023886,1.47333706962306,0.345941342565155,2.352233103417853
