token,folio_id,section_label,visual_category,line_global,line_in_folio,token_index_in_line,line_token_count,line_position,paragraph_initial,raw_line_tag
fachys,f1r,unknown,unknown,0,1,0,9,line_initial,True,"f1r.1,@P0"
ykal,f1r,unknown,unknown,0,1,1,9,line_medial,False,"f1r.1,@P0"
ar,f1r,unknown,unknown,0,1,2,9,line_medial,False,"f1r.1,@P0"
ataiin,f1r,unknown,unknown,0,1,3,9,line_medial,False,"f1r.1,@P0"
shol,f1r,unknown,unknown,0,1,4,9,line_medial,False,"f1r.1,@P0"
shory,f1r,unknown,unknown,0,1,5,9,line_medial,False,"f1r.1,@P0"
res,f1r,unknown,unknown,0,1,6,9,line_medial,False,"f1r.1,@P0"
kor,f1r,unknown,unknown,0,1,7,9,line_medial,False,"f1r.1,@P0"
sholdy,f1r,unknown,unknown,0,1,8,9,line_final,False,"f1r.1,@P0"
sory,f1r,unknown,unknown,1,2,0,10,line_initial,False,"f1r.2,+P0"
ckhar,f1r,unknown,unknown,1,2,1,10,line_medial,False,"f1r.2,+P0"
or,f1r,unknown,unknown,1,2,2,10,line_medial,False,"f1r.2,+P0"
kair,f1r,unknown,unknown,1,2,3,10,line_medial,False,"f1r.2,+P0"
chtaiin,f1r,unknown,unknown,1,2,4,10,line_medial,False,"f1r.2,+P0"
shar,f1r,unknown,unknown,1,2,5,10,line_medial,False,"f1r.2,+P0"
ase,f1r,unknown,unknown,1,2,6,10,line_medial,False,"f1r.2,+P0"
cthar,f1r,unknown,unknown,1,2,7,10,line_medial,False,"f1r.2,+P0"
cthar,f1r,unknown,unknown,1,2,8,10,line_medial,False,"f1r.2,+P0"
dan,f1r,unknown,unknown,1,2,9,10,line_final,False,"f1r.2,+P0"
syaiir,f1r,unknown,unknown,2,3,0,9,line_initial,False,"f1r.3,+P0"
sheky,f1r,unknown,unknown,2,3,1,9,line_medial,False,"f1r.3,+P0"
or,f1r,unknown,unknown,2,3,2,9,line_medial,False,"f1r.3,+P0"
ykaiin,f1r,unknown,unknown,2,3,3,9,line_medial,False,"f1r.3,+P0"
