iteration,section_label,sample_size,H_suffix_given_core,suffix_top1
0,herbal,846,0.6119171788292038,0.8095238095238095
0,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
0,biological_balneological,846,0.2689106463086021,0.9218523878437048
0,cosmological,846,0.6755537032858173,0.803030303030303
0,pharmaceutical,846,0.7501188786027025,0.776056338028169
0,recipes_stars,846,0.5556307580216564,0.8390646492434664
1,herbal,846,0.7633856221746755,0.7700296735905044
1,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
1,biological_balneological,846,0.2221921009740099,0.934876989869754
1,cosmological,846,0.6772985191934789,0.8012139605462822
1,pharmaceutical,846,0.7145984832464346,0.7946554149085795
1,recipes_stars,846,0.5465725805534332,0.8468834688346883
2,herbal,846,0.6727853240034511,0.7990867579908676
2,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
2,biological_balneological,846,0.32813639565702496,0.9033674963396779
2,cosmological,846,0.6987183707069349,0.8
2,pharmaceutical,846,0.6981690162956664,0.786628733997155
2,recipes_stars,846,0.5224095214379959,0.8421052631578947
3,herbal,846,0.7054119952156742,0.8011527377521613
3,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
3,biological_balneological,846,0.2350988083055144,0.9321074964639321
3,cosmological,846,0.6735252249822966,0.8043478260869565
3,pharmaceutical,846,0.7149122779375222,0.788135593220339
3,recipes_stars,846,0.5643649907298417,0.8403247631935047
4,herbal,846,0.6978239641369206,0.7933526011560693
4,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
4,biological_balneological,846,0.34212989225454177,0.9096209912536443
4,cosmological,846,0.747326670402952,0.7897196261682243
4,pharmaceutical,846,0.7003005233272614,0.8005657708628006
4,recipes_stars,846,0.5674282741152463,0.8366197183098592
5,herbal,846,0.6913826984497996,0.7934621099554234
5,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
5,biological_balneological,846,0.2951553819471399,0.9118942731277533
5,cosmological,846,0.667226171969652,0.7947530864197531
5,pharmaceutical,846,0.6866852171645969,0.7865329512893983
5,recipes_stars,846,0.5283952341101175,0.8410689170182841
6,herbal,846,0.6910052346188787,0.8002894356005789
6,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
6,biological_balneological,846,0.27954209395022717,0.9166666666666666
6,cosmological,846,0.6986678473900423,0.7990936555891238
6,pharmaceutical,846,0.7163640906336125,0.796875
6,recipes_stars,846,0.5599690111945049,0.8373655913978495
7,herbal,846,0.6473780140831255,0.8172205438066465
7,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
7,biological_balneological,846,0.2465743300512341,0.9314456035767511
7,cosmological,846,0.6747813831576687,0.7925117004680188
7,pharmaceutical,846,0.665629558405728,0.8050847457627118
7,recipes_stars,846,0.5650335979605773,0.8293010752688172
8,herbal,846,0.6423053803519534,0.8108504398826979
