model,section_label,precision,recall,F1,support
majority_class_baseline,astronomical_zodiac,0.0,0.0,0.0,8
majority_class_baseline,biological_balneological,0.0,0.0,0.0,19
majority_class_baseline,cosmological,0.0,0.0,0.0,10
majority_class_baseline,herbal,0.6292682926829268,1.0,0.7724550898203593,129
majority_class_baseline,pharmaceutical,0.0,0.0,0.0,15
majority_class_baseline,recipes_stars,0.0,0.0,0.0,24
stratified_random_baseline,astronomical_zodiac,0.0,0.0,0.0,8
stratified_random_baseline,biological_balneological,0.0,0.0,0.0,19
stratified_random_baseline,cosmological,0.0,0.0,0.0,10
stratified_random_baseline,herbal,0.6231884057971014,0.6666666666666666,0.6441947565543071,129
stratified_random_baseline,pharmaceutical,0.1,0.13333333333333333,0.11428571428571428,15
stratified_random_baseline,recipes_stars,0.0,0.0,0.0,24
nearest_centroid_structural,astronomical_zodiac,0.21739130434782608,0.625,0.3225806451612903,8
nearest_centroid_structural,biological_balneological,0.8571428571428571,0.9473684210526315,0.9,19
nearest_centroid_structural,cosmological,0.22727272727272727,0.5,0.3125,10
nearest_centroid_structural,herbal,0.9797979797979798,0.751937984496124,0.8508771929824561,129
nearest_centroid_structural,pharmaceutical,0.5294117647058824,0.6,0.5625,15
nearest_centroid_structural,recipes_stars,0.9130434782608695,0.875,0.8936170212765957,24
knn3_structural,astronomical_zodiac,0.1,0.125,0.1111111111111111,8
knn3_structural,biological_balneological,0.8181818181818182,0.9473684210526315,0.8780487804878049,19
knn3_structural,cosmological,0.4,0.2,0.26666666666666666,10
knn3_structural,herbal,0.8905109489051095,0.9457364341085271,0.9172932330827067,129
knn3_structural,pharmaceutical,0.375,0.2,0.2608695652173913,15
knn3_structural,recipes_stars,0.9130434782608695,0.875,0.8936170212765957,24
token_count_only_baseline,astronomical_zodiac,0.0625,0.25,0.1,8
token_count_only_baseline,biological_balneological,0.8,0.8421052631578947,0.8205128205128205,19
token_count_only_baseline,cosmological,0.23529411764705882,0.4,0.2962962962962963,10
token_count_only_baseline,herbal,0.9292929292929293,0.7131782945736435,0.8070175438596491,129
token_count_only_baseline,pharmaceutical,0.26666666666666666,0.26666666666666666,0.26666666666666666,15
token_count_only_baseline,recipes_stars,0.9090909090909091,0.8333333333333334,0.8695652173913043,24
logistic_regression,astronomical_zodiac,0.2857142857142857,0.5,0.36363636363636365,8
logistic_regression,biological_balneological,0.9473684210526315,0.9473684210526315,0.9473684210526315,19
logistic_regression,cosmological,0.375,0.6,0.46153846153846156,10
logistic_regression,herbal,0.9649122807017544,0.8527131782945736,0.9053497942386831,129
logistic_regression,pharmaceutical,0.7777777777777778,0.9333333333333333,0.8484848484848485,15
logistic_regression,recipes_stars,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
random_forest,astronomical_zodiac,1.0,0.25,0.4,8
random_forest,biological_balneological,1.0,0.9473684210526315,0.972972972972973,19
random_forest,cosmological,0.6666666666666666,0.2,0.3076923076923077,10
random_forest,herbal,0.8888888888888888,0.9922480620155039,0.9377289377289377,129
random_forest,pharmaceutical,0.8571428571428571,0.8,0.8275862068965517,15
random_forest,recipes_stars,0.9583333333333334,0.9583333333333334,0.9583333333333334,24
linear_svm,astronomical_zodiac,0.375,0.375,0.375,8
linear_svm,biological_balneological,0.9473684210526315,0.9473684210526315,0.9473684210526315,19
linear_svm,cosmological,0.38461538461538464,0.5,0.43478260869565216,10
linear_svm,herbal,0.9512195121951219,0.9069767441860465,0.9285714285714286,129
linear_svm,pharmaceutical,0.7777777777777778,0.9333333333333333,0.8484848484848485,15
linear_svm,recipes_stars,0.9166666666666666,0.9166666666666666,0.9166666666666666,24
