           section_label  family_definition  token_count  real_mean_nearest_neighbor_distance  shuffled_baseline_mean_distance  real_to_shuffled_ratio  baseline_ci_lower_95  baseline_ci_upper_95  iterations confidence_note
     astronomical_zodiac          same_core          846                            83.061381                        90.395376                0.918868             82.956650             97.851854        1000        standard
     astronomical_zodiac   same_prefix_core          846                           144.220183                       151.460445                0.952197            138.041055            165.877523        1000        standard
     astronomical_zodiac   same_suffix_core          846                           108.201238                       119.351533                0.906576            109.814009            128.248607        1000        standard
     astronomical_zodiac same_prefix_family          846                            37.377953                        40.423260                0.924664             37.683189             43.093819        1000        standard
biological_balneological          same_core         6240                           173.457281                       178.654437                0.970909            172.454387            185.627581        1000        standard
biological_balneological   same_prefix_core         6240                           341.741275                       359.756962                0.949923            347.727554            370.986577        1000        standard
biological_balneological   same_suffix_core         6240                           208.444192                       215.270083                0.968292            207.848662            223.480535        1000        standard
biological_balneological same_prefix_family         6240                            70.290784                        72.918905                0.963958             70.087129             75.732754        1000        standard
            cosmological          same_core         1543                           104.568075                       116.073331                0.900879            108.880164            122.885857        1000        standard
            cosmological   same_prefix_core         1543                           185.971631                       223.571555                0.831822            210.043972            237.728147        1000        standard
            cosmological   same_suffix_core         1543                           135.778820                       148.640196                0.913473            139.982272            156.885690        1000        standard
            cosmological same_prefix_family         1543                            49.502242                        47.672661                1.038378             44.441637             50.834664        1000        standard
                  herbal          same_core        11034                           323.493269                       349.324855                0.926053            338.671777            359.446748        1000        standard
                  herbal   same_prefix_core        11034                           670.733497                       731.924396                0.916397            715.824766            750.146151        1000        standard
                  herbal   same_suffix_core        11034                           435.519479                       472.221437                0.922278            458.976986            484.739952        1000        standard
                  herbal same_prefix_family        11034                            91.424879                        92.120057                0.992454             89.036355             95.107642        1000        standard
          pharmaceutical          same_core         2338                           112.702899                       123.919300                0.909486            117.134239            130.796229        1000        standard
          pharmaceutical   same_prefix_core         2338                           206.928447                       218.852743                0.945515            208.377814            229.878163        1000        standard
          pharmaceutical   same_suffix_core         2338                           151.689630                       158.818864                0.955111            151.369579            166.254532        1000        standard
          pharmaceutical same_prefix_family         2338                            57.187365                        58.438105                0.978597             55.560921             61.613053        1000        standard
           recipes_stars          same_core        10744                           303.027307                       320.291251                0.946099            311.051975            329.742594        1000        standard
           recipes_stars   same_prefix_core        10744                           617.794470                       666.996502                0.926233            652.158823            681.966872        1000        standard
           recipes_stars   same_suffix_core        10744                           421.600282                       439.653713                0.958937            427.776162            451.876694        1000        standard
           recipes_stars same_prefix_family        10744                            79.979540                        85.081010                0.940040             82.258911             87.991562        1000        standard
                 unknown          same_core         4855                           217.048620                       249.125831                0.871241            239.771526            258.381728        1000        standard
                 unknown   same_prefix_core         4855                           401.574143                       475.956765                0.843720            459.635120            491.332817        1000        standard
                 unknown   same_suffix_core         4855                           272.972449                       313.179219                0.871617            302.925119            324.123333        1000        standard
                 unknown same_prefix_family         4855                            74.470267                        77.192359                0.964736             73.821040             80.713406        1000        standard
