          source_section           target_section  target_heldout_cross_entropy  target_perplexity  token_matching_rate  token_mass_coverage  suffix_top1  suffix_top3  delta_vs_target_own_model  delta_vs_global_model
                  herbal                   herbal                     12.060468        4271.326433             0.522124             0.745392     0.671083     0.885945                   0.000000              -0.260811
                  herbal      astronomical_zodiac                     15.132914       35930.321445             0.496124             0.542254     0.584507     0.852113                   0.363536               0.230410
                  herbal biological_balneological                     12.411084        5446.386608             0.508046             0.759557     0.791751     0.938632                   2.212856               1.543279
                  herbal             cosmological                     13.090210        8720.590542             0.608040             0.666667     0.629630     0.872428                  -0.066250               0.352772
                  herbal           pharmaceutical                     13.111133        8847.983791             0.555556             0.679688     0.619792     0.861979                   0.605984               0.190369
                  herbal            recipes_stars                     13.099917        8779.466066             0.453409             0.701031     0.714053     0.892566                   1.438422               1.322246
                  herbal                  unknown                     13.666950       13006.545908             0.480695             0.637975     0.618987     0.856962                   0.789211               0.919210
     astronomical_zodiac                   herbal                     14.137815       18026.292316             0.133850             0.340438     0.524194     0.731567                   2.077347               1.816536
     astronomical_zodiac      astronomical_zodiac                     14.769379       27927.109689             0.248062             0.302817     0.450704     0.640845                   0.000000              -0.133126
     astronomical_zodiac biological_balneological                     15.125045       35734.862958             0.149425             0.248491     0.498994     0.621730                   4.926816               4.257240
     astronomical_zodiac             cosmological                     14.069146       17188.383769             0.266332             0.325103     0.514403     0.687243                   0.912686               1.331708
     astronomical_zodiac           pharmaceutical                     13.820631       14468.537215             0.222222             0.395833     0.471354     0.731771                   1.315483               0.899868
     astronomical_zodiac            recipes_stars                     14.730292       27180.641705             0.119318             0.288660     0.542051     0.728161                   3.068796               2.952621
     astronomical_zodiac                  unknown                     14.499918       23169.165699             0.152510             0.277215     0.474684     0.679747                   1.622179               1.752178
biological_balneological                   herbal                     14.377209       21279.980565             0.257743             0.490783     0.566820     0.769585                   2.316741               2.055930
biological_balneological      astronomical_zodiac                     17.448039      178806.443569             0.279070             0.316901     0.373239     0.563380                   2.678661               2.545535
biological_balneological biological_balneological                     10.198228        1174.823372             0.540230             0.791751     0.827968     0.916499                   0.000000              -0.669576
biological_balneological             cosmological                     14.734318       27256.606254             0.386935             0.465021     0.547325     0.703704                   1.577858               1.996881
biological_balneological           pharmaceutical                     14.897973       30530.702290             0.307407             0.432292     0.523438     0.705729                   2.392824               1.977210
biological_balneological            recipes_stars                     12.597610        6198.098865             0.334091             0.634292     0.669018     0.825285                   0.936114               0.819939
biological_balneological                  unknown                     14.208094       18926.164707             0.347490             0.513924     0.540506     0.739241                   1.330355               1.460354
            cosmological                   herbal                     13.575785       12210.083936             0.205752             0.457373     0.551843     0.766129                   1.515317               1.254506
