boundary_after_previous_folio,boundary_before_folio,previous_section,current_section,adjacent_distance,conventional_section_boundary,window_3_distance,window_5_distance,window_7_distance,combined_change_point_score
f116r,f116v,recipes_stars,unknown,16.090211529460362,True,7.88344025728546,7.961141003630975,8.010712325643638,9.986376279005109
f116v,fRos,unknown,unknown,16.58942959941877,False,6.14956643268078,4.409333384774266,3.5813071605511237,7.682409144356234
f58v,f65r,unknown,herbal,15.531011837872587,True,5.996522031487825,3.3485223193830307,2.461191233346895,6.834311855522584
f115v,f116r,recipes_stars,recipes_stars,4.636539565723544,False,5.853950452217161,5.7710277805637835,5.7463339901473445,5.5019629471629585
f65r,f65v,herbal,herbal,12.523581377872857,False,3.951061680359027,2.5212825674841013,1.9585111130609691,5.238609184694238
f73v,f75r,unknown,biological_balneological,5.164504456718211,True,4.880196532428697,4.4937123747722065,4.383102725479704,4.730379022349704
f24v,f25r,herbal,herbal,7.714812110928627,False,5.9099042684472956,3.2914179905714223,1.8646533810703054,4.695196937754412
f115r,f115v,recipes_stars,recipes_stars,1.366845461164688,False,5.639681019805822,4.308530721637778,4.111776825126624,3.856708506933728
f65v,f66r,herbal,unknown,4.3571581165929745,True,5.18920998873888,3.086255014406102,2.315669238193671,3.737073089482907
f102v2,f103r,pharmaceutical,recipes_stars,5.285302348925473,True,3.4916837390955027,2.919884961804037,2.663554375741077,3.5901063563915225
f26v,f27r,herbal,herbal,6.263138229377511,False,4.015148735088871,2.4292629937187336,0.9319546424281767,3.4098761501533232
f86v6,f87r,unknown,herbal,4.2243863828310575,True,3.5975009541498966,2.886279491447452,2.7967028372954226,3.376217416430957
f37v,f38r,herbal,herbal,5.88673544665667,False,3.077810974106287,2.3290006055948065,1.7535192057013957,3.26176655801479
f68v1,f68v2,astronomical_zodiac,astronomical_zodiac,5.822547541198026,False,2.555568011789254,2.2702040638728325,1.893872368600941,3.1355479963652635
f84v,f85r1,biological_balneological,unknown,5.34323279704418,True,2.6021151200056845,2.294634158396685,2.2021325529008196,3.1105286570868422
f66r,f66v,unknown,herbal,2.348169096518485,True,5.0069524773876095,2.5801059667443216,2.170444120227512,3.026417915219482
f22v,f23r,herbal,herbal,3.360551227701819,False,3.7284761620636457,3.1186121979169235,1.792954748778648,3.0001485841152586
f57v,f58r,cosmological,unknown,4.004796993294397,True,3.929136792345531,2.3306586725959937,1.608949906562669,2.9683855911996475
f67r2,f67v1,astronomical_zodiac,astronomical_zodiac,3.6320030655915225,False,2.880461863876075,2.5498011721796443,2.7431818282860676,2.9513619824833275
f25r,f25v,herbal,herbal,3.0123573582891403,False,4.883288695301461,2.5082417111131865,1.305547162405972,2.92735873177744
