           section_label split  alpha_smoothing  train_token_count  test_token_count  global_cross_entropy  section_cross_entropy  delta_global_minus_section_cross_entropy  global_perplexity  section_perplexity  global_token_matching_rate  section_token_matching_rate  global_token_mass_coverage  section_token_mass_coverage  global_suffix_top1  section_suffix_top1  global_suffix_top3  section_suffix_top3  global_H_suffix_given_core  section_H_suffix_given_core  global_H_core_given_prefix  section_H_core_given_prefix  valid_PCS_test_token_count   confidence_note
                  herbal 80/20              0.1               8827              2207             12.382426              12.199115                                  0.183311        5339.266986         4702.183866                    0.635281                     0.504329                    0.804975                     0.731487            0.693612             0.671566            0.909553             0.887507                    0.773256                     0.773256                    3.996008                     3.996008                        1769          standard
     astronomical_zodiac 80/20              0.1                677               169             14.339699              14.307863                                  0.031836       20733.828191        20281.307634                    0.679688                     0.273438                    0.711268                     0.316901            0.626761             0.457746            0.866197             0.633803                    0.453157                     0.453157                    2.476786                     2.476786                         142 low-count section
biological_balneological 80/20              0.1               4992              1248             10.697099              10.087315                                  0.609785        1660.151826         1087.888357                    0.719807                     0.550725                    0.880597                     0.804975            0.853731             0.833831            0.961194             0.931343                    0.314747                     0.314747                    3.606920                     3.606920                        1005          standard
            cosmological 80/20              0.1               1234               309             13.296086              13.389508                                 -0.093422       10058.209749        10731.081877                    0.697436                     0.410256                    0.744589                     0.484848            0.623377             0.502165            0.887446             0.714286                    0.585387                     0.585387                    2.899246                     2.899246                         231          standard
          pharmaceutical 80/20              0.1               1870               468             12.304677              11.989780                                  0.314898        5059.143644         4067.086295                    0.730924                     0.429719                    0.822751                     0.611111            0.677249             0.608466            0.904762             0.851852                    0.601108                     0.601108                    3.007315                     3.007315                         378          standard
           recipes_stars 80/20              0.1               8595              2149             11.865089              11.796681                                  0.068408        3730.334202         3557.582058                    0.678571                     0.544643                    0.839848                     0.766015            0.742128             0.713355            0.932139             0.878936                    0.636987                     0.636987                    4.281980                     4.281980                        1842          standard
                 unknown 80/20              0.1               3884               971             13.045343              13.213568                                 -0.168225        8453.555770         9499.051695                    0.656716                     0.453358                    0.764855                     0.615676            0.670038             0.613148            0.902655             0.877370                    0.581723                     0.581723                    3.839342                     3.839342                         791          standard
                  herbal 70/30              0.1               7724              3310             12.265607              12.064936                                  0.200671        4923.971574         4284.573314                    0.610032                     0.462783                    0.812070                     0.729183            0.695187             0.671123            0.908327             0.888846                    0.784776                     0.784776                    4.180802                     4.180802                        2618          standard
     astronomical_zodiac 70/30              0.1                592               254             14.783184              14.147251                                  0.635933       28195.631169        18144.577980                    0.576087                     0.250000                    0.637209                     0.334884            0.581395             0.372093            0.841860             0.600000                    0.556983                     0.556983                    2.926285                     2.926285                         215          standard
biological_balneological 70/30              0.1               4368              1872             10.626240              10.059332                                  0.566908        1580.581499         1066.990710                    0.709156                     0.509874                    0.889764                     0.807743            0.856955             0.832677            0.960630             0.927165                    0.349707                     0.349707                    3.681084                     3.681084                        1524          standard
            cosmological 70/30              0.1               1080               463             12.959466              13.157170                                 -0.197704        7965.038148         9134.877748                    0.704626                     0.387900                    0.770492                     0.497268            0.672131             0.557377            0.907104             0.745902                    0.513869                     0.513869                    3.439037                     3.439037                         366          standard
          pharmaceutical 70/30              0.1               1637               701             12.757668              12.526124                                  0.231543        6925.332075         5898.467217                    0.675214                     0.356125                    0.791289                     0.566243            0.638838             0.553539            0.892922             0.760436                    0.711829                     0.711829                    3.264955                     3.264955                         551          standard
           recipes_stars 70/30              0.1               7521              3223             12.011050              11.888288                                  0.122762        4127.494087         3790.803985                    0.606383                     0.469722                    0.820087                     0.749639            0.735188             0.708092            0.926301             0.858020                    0.659533                     0.659533                    4.471033                     4.471033                        2768          standard
                 unknown 70/30              0.1               3398              1457             12.990596              13.137290                                 -0.146693        8138.776708         9009.864225                    0.618785                     0.401934                    0.763605                     0.607143            0.671769             0.621599            0.888605             0.840136                    0.614222                     0.614222                    4.262421                     4.262421                        1176          standard
                  herbal 50/50              0.1               5517              5517             12.289531              12.153385                                  0.136146        5006.305917         4555.471563                    0.523837                     0.358683                    0.795825                     0.706584            0.676761             0.647626            0.907777             0.885983                    0.866128                     0.866128                    4.417581                     4.417581                        4359          standard
     astronomical_zodiac 50/50              0.1                423               423             14.545963              14.367703                                  0.178260       23920.557189        21140.227626                    0.588235                     0.166090                    0.654179                     0.256484            0.582133             0.389049            0.858790             0.605187                    0.604365                     0.604365                    3.343396                     3.343396                         347          standard
biological_balneological 50/50              0.1               3120              3120             10.743790              10.105229                                  0.638561        1714.759216         1101.481037                    0.601476                     0.399754                    0.866325                     0.788644            0.844637             0.821767            0.954653             0.905757                    0.337519                     0.337519                    3.905596                     3.905596                        2536          standard
            cosmological 50/50              0.1                772               771             13.285729              13.290668                                 -0.004939        9986.264129        10020.506853                    0.620609                     0.281030                    0.717014                     0.421875            0.607639             0.489583            0.861111             0.694444                    0.690289                     0.690289                    3.847998                     3.847998                         576          standard
          pharmaceutical 50/50              0.1               1169              1169             12.715594              12.620089                                  0.095505        6726.283734         6295.429220                    0.587156                     0.251376                    0.761807                     0.527721            0.660164             0.564682            0.900411             0.831622                    0.726264                     0.726264                    3.608648                     3.608648                         974          standard
           recipes_stars 50/50              0.1               5372              5372             11.855618              11.745375                                  0.110242        3705.924586         3433.288594                    0.536983                     0.383809                    0.818537                     0.740829            0.739310             0.710007            0.924680             0.869112                    0.697401                     0.697401                    4.582660                     4.582660                        4607          standard
                 unknown 50/50              0.1               2428              2427             13.058171              13.141402                                 -0.083231        8529.061575         9035.584327                    0.541667                     0.316123                    0.739458                     0.585341            0.654618             0.601908            0.892068             0.861446                    0.699639                     0.699639                    4.494641                     4.494641                        1992          standard
